"ucas","name","postcode","status","application","offer"
"10500","Beaminster School, Beaminster","DT8 3EP","Maintained","<3","<3"
"10501","Bryanston School","DT11 0PX","Independent","8","<3"
"10502","The Blandford School","DT11 7SQ","Maintained","<3","<3"
"10503","Clayesmore School","DT11 8LL","Independent","<3","<3"
"10508","Thomas Hardye School","DT1 2ET","Maintained","8","<3"
"10511","Gillingham School","SP8 4QP","Maintained","<3","<3"
"10513","The Woodroffe School","DT7 3LX","Maintained","3","<3"
"10514","Parkstone Grammar School","BH17 7EP","Maintained","4","<3"
"10515","Poole Grammar School","BH17 9JU","Maintained","5","3"
"10518","Shaftesbury School","SP7 8ER","Maintained","<3","<3"
"10520","St Mary's School, Dorset","SP7 9LP","Independent","<3","<3"
"10522","The Gryphon School, Sherborne","DT9 4EQ","Maintained","8","3"
"10523","Sherborne School","DT9 3AP","Independent","4","<3"
"10524","Sherborne School for Girls","DT9 3QN","Independent","6","<3"
"10525","Leweston School Trust","DT9 6EN","Independent","3","<3"
"10527","The Purbeck School","BH20 4PF","Maintained","<3","<3"
"10532","Canford School","BH21 3AD","Independent","12","3"
"10533","Queen Elizabeths School, Wimborne","BH21 4DT","Maintained","4","<3"
"10534","Barnard Castle School","DL12 8UN","Independent","<3","<3"
"10535","Teesdale School","DL12 8HH","Maintained","3","<3"
"10540","Park View School","DH3 3QA","Maintained","<3","<3"
"10545","Carmel College, A Catholic Academy (formerly Carmel RC College, Darlington)","DL3 8RW","Maintained","4","<3"
"10547","Queen Elizabeth Sixth Form College, Darlington","DL3 7AU","Maintained","16","6"
"10549","Southbank International School","NW1 3AU","Independent","5","<3"
"10550","Durham High School","DH1 3TB","Independent","5","<3"
"10551","Durham Johnston Comprehensive School","DH1 4SU","Maintained","16","7"
"10552","Durham School","DH1 4SZ","Independent","6","3"
"10555","Durham Sixth Form Centre","DH1 1SG","Maintained","7","3"
"10559","Gateshead College","NE8 3BE","Maintained","4","<3"
"10562","Hartlepool College of Further Education","TS24 7NT","Maintained","<3","<3"
"10568","The English Martyrs Catholic School and Sixth Form College","TS25 4HA","Maintained","<3","<3"
"10569","St. Joseph's Catholic Academy","NE31 2ET","Maintained","<3","<3"
"10573","Weston Road Academy (formerly Weston Road High School) Stafford","ST18 0YG","Maintained","<3","<3"
"10587","Brimsham Green School","BS37 7LB","Maintained","<3","<3"
"10590","Stockton Sixth Form College","TS19 0QD","Maintained","<3","<3"
"10603","St. Aidan's Catholic Academy (formerly St Aidans School)","SR2 7HJ","Maintained","<3","<3"
"10604","St Anthony's Girls' Catholic Academy","SR2 7JN","Maintained","<3","<3"
"10607","Egglescliffe School","TS16 0LA","Maintained","4","<3"
"10614","The Cotswold School Academy Trust","GL54 2BD","Maintained","8","<3"
"10615","Barking Abbey School","IG11 9AG","Maintained","5","<3"
"10616","Eastbury Comprehensive School, Barking","IG11 9UW","Maintained","<3","<3"
"10622","The Billericay School","CM12 9LH","Maintained","4","<3"
"10623","Mayflower High School","CM12 0RT","Maintained","<3","<3"
"10630","Brentwood School","CM15 8EE","Independent","19","5"
"10631","Shenfield High School","CM15 8RY","Maintained","<3","<3"
"10632","Brentwood Ursuline Convent High School","CM14 4EX","Maintained","5","<3"
"10634","St John Payne Catholic School","CM1 4BS","Maintained","<3","<3"
"10635","Chelmsford College","CM2 0JQ","Maintained","<3","<3"
"10636","Chelmsford County High School, Chelmsford","CM1 1RW","Maintained","16","6"
"10637","Moulsham High School, Chelmsford","CM2 9ES","Maintained","4","<3"
"10639","Chelmer Valley High School","CM1 7ER","Maintained","3","<3"
"10640","New Hall School","CM3 3HS","Independent","9","<3"
"10641","Great Baddow High School","CM2 9RZ","Maintained","<3","<3"
"10642","King Edward VI Grammar School, Chelmsford","CM1 3SX","Maintained","59","15"
"10645","Chigwell School","IG7 6QF","Independent","12","<3"
"10646","West Hatch High School","IG7 5BT","Maintained","<3","<3"
"10649","City and Islington Sixth Form College","EC1V 7LA","Maintained","13","3"
"10652","Colchester County High School For Girls","CO3 3US","Maintained","26","10"
"10653","Colchester Royal Grammar School","CO3 3ND","Maintained","68","18"
"10656","The Sixth Form College Colchester","CO1 1SN","Maintained","16","5"
"10661","Thurstable School Sports College & Sixth Form Centre","CO5 0EW","Maintained","<3","<3"
"10663","ACS Cobham International School","KT11 1BL","Independent","3","<3"
"10664","St Brigid's School","LL16 4BH","Maintained","<3","<3"
"10666","Kendal College","LA9 5AY","Maintained","<3","<3"
"10669","The Sydney Russell School","RM9 5QT","Maintained","<3","<3"
"10671","Robert Clack School, Dagenham","RM8 1JU","Maintained","4","<3"
"10673","Harwich and Dovercourt High School","CO12 3TG","Maintained","<3","<3"
"10674","Felsted School","CM6 3LL","Independent","6","<3"
"10677","Unified Seevic Palmer's College, Palmer's Campus","RM17 5TD","Maintained","<3","<3"
"10679","The Sandon School","CM2 7AQ","Maintained","<3","<3"
"10683","Harlow College","CM20 3LH","Maintained","5","<3"
"10688","St Mark's West Essex Catholic School, Harlow","CM18 6AA","Maintained","3","<3"
"10691","Campion School, Hornchurch","RM11 3BX","Maintained","3","<3"
"10694","Beal High School","IG4 5LP","Maintained","4","<3"
"10695","Seven Kings School","IG2 7BT","Maintained","9","<3"
"10697","Ilford County High School","IG6 2JB","Maintained","11","<3"
"10698","Valentines High School, Ilford","IG2 6HX","Maintained","<3","<3"
"10699","Ursuline Academy Ilford (formerly Ilford Ursuline High School)","IG1 4JU","Maintained","<3","<3"
"10700","Anglo-European School","CM4 0DJ","Maintained","6","3"
"10701","Belfairs Academy","SS9 3TG","Maintained","<3","<3"
"10704","Davenant Foundation School","IG10 2LD","Maintained","10","<3"
"10709","Plume Academy","CM9 6AB","Maintained","<3","<3"
"10715","Biddenham Upper School and Sports College","MK40 4AZ","Maintained","3","<3"
"10718","New City College London: Redbridge","RM6 4XT","Maintained","<3","<3"
"10719","The Frances Bardsley Academy for Girls (Formerly School)","RM1 2RR","Maintained","7","<3"
"10723","St Edward's CE Academy","RM7 9NX","Maintained","3","<3"
"10726","Saffron Walden County High School","CB11 4UH","Maintained","23","8"
"10727","Southend High School for Boys Academy Trust","SS0 0RG","Maintained","21","5"
"10728","Southend High School for Girls","SS2 4UZ","Maintained","12","<3"
"10734","Sacred Heart of Mary Girls School, Upminster","RM14 2QR","Maintained","3","<3"
"10735","Westcliff High School for Boys","SS0 0BP","Maintained","26","7"
"10736","Westcliff High School for Girls, Westcliff on Sea","SS0 0BS","Maintained","11","3"
"10738","Beauchamps High School","SS11 8LY","Maintained","6","<3"
"10739","Bancrofts School","IG8 0RF","Independent","46","7"
"10741","Woodford County High School, Woodford Green","IG8 9LA","Maintained","24","5"
"10744","St Richard Gwyn Catholic High School","CH6 5JZ","Maintained","<3","<3"
"10748","Alun School","CH7 1EP","Maintained","7","<3"
"10750","Prestatyn High School, Prestatyn","LL19 8RS","Maintained","6","<3"
"10752","St James Senior Girls School","W14 8SH","Independent","<3","<3"
"10762","Archbishop McGrath Catholic High School","CF31 2DN","Maintained","6","<3"
"10769","St Martin's School, Caerphilly","CF83 1UW","Maintained","<3","<3"
"10772","Cardiff High School, Cardiff","CF23 6WG","Maintained","16","6"
"10774","Cathays High School","CF14 3XG","Maintained","<3","<3"
"10777","Fitzalan High School","CF11 8XB","Maintained","<3","<3"
"10778","St David's Catholic College, Penylan","CF23 5QD","Maintained","9","<3"
"10780","Howell's School, Llandaff, GDST","CF5 2YD","Independent","6","3"
"10783","Holmes Chapel Comprehensive School, Crewe","CW4 7DX","Maintained","5","<3"
"10784","Kings Monkton School","CF24 3XL","Independent","<3","<3"
"10791","Cowbridge Comprehensive School","CF71 7EN","Maintained","10","<3"
"10794","United World College of the Atlantic","CF61 1WF","Independent","13","<3"
"10805","The Grange School, Northwich","CW8 1LU","Independent","5","3"
"10806","St Cyres Comprehensive School","CF64 2XP","Maintained","<3","<3"
"10807","Stanwell School","CF64 2XL","Maintained","8","3"
"10811","The Fallibroome Academy","SK10 4AF","Maintained","12","5"
"10815","Ysgol Garth Olwg","CF38 1DX","Maintained","<3","<3"
"10819","St Joseph's Catholic School and VI Form Centre","SA12 6EY","Maintained","3","<3"
"10820","Ysgol Gyfun Cwm Rhondda","CF39 9HA","Maintained","<3","<3"
"10824","St Clares School Porthcawl","CF36 5NR","Independent","<3","<3"
"10830","Bishop Gore School","SA2 9AP","Maintained","6","<3"
"10831","Bishop Vaughan R C School","SA6 7QG","Maintained","<3","<3"
"10837","Gowerton School, Swansea","SA4 3DL","Maintained","3","<3"
"10842","Olchfa School","SA2 7AB","Maintained","10","<3"
"10851","Cleeve School","GL52 8AE","Maintained","<3","<3"
"10854","Backwell School, Bristol","BS48 3BX","Maintained","5","<3"
"10855","Badminton School","BS9 3BA","Independent","9","<3"
"10860","Bristol Cathedral Choir School","BS1 5TS","Maintained","15","3"
"10861","Clifton College","BS8 3JH","Independent","9","<3"
"10864","V6 Sixth Form","BS6 5RD","Maintained","5","<3"
"10866","North Bristol Post 16 Centre","BS6 6BU","Maintained","3","<3"
"10870","Gordano School","BS20 7QR","Maintained","7","<3"
"10871","Bristol Grammar School","BS8 1SR","Independent","12","3"
"10887","Queen Elizabeth's Hospital School","BS8 1JX","Independent","18","<3"
"10896","St Brendan's Sixth Form College","BS4 5RQ","Maintained","5","<3"
"10898","St Mary Redcliffe and Temple School","BS1 6RT","Maintained","14","3"
"10907","Cheltenham College","GL53 7LD","Independent","9","<3"
"10908","Pate's Grammar School","GL51 0HG","Maintained","61","16"
"10909","Cheltenham Ladies' College","GL50 3EP","Independent","39","11"
"10910","Cheltenham Bournside School","GL51 3EF","Maintained","<3","<3"
"10911","Dean Close School","GL51 6HE","Independent","10","<3"
"10912","St Edward's School","GL53 8EY","Independent","<3","<3"
"10919","Chipping Campden School","GL55 6HU","Maintained","5","<3"
"10920","Chipping Sodbury School","BS37 6EW","Maintained","<3","<3"
"10924","Cirencester College","GL7 1XA","Maintained","10","<3"
"10934","Denmark Road High School","GL1 3JN","Maintained","3","<3"
"10936","King's School, Gloucester","GL1 2BG","Independent","3","<3"
"10937","Ribston Hall High School","GL1 5LE","Maintained","<3","<3"
"10939","Sir Thomas Rich's School","GL2 0LF","Maintained","12","3"
"10943","Newent Community School and Sixth Form Centre","GL18 1QF","Maintained","<3","<3"
"10944","The Crypt School","GL2 5AE","Maintained","<3","<3"
"10945","Wycliffe College, Stonehouse","GL10 2JQ","Independent","<3","<3"
"10946","Stroud High School","GL5 4HF","Maintained","11","3"
"10948","Marling School","GL5 4HE","Maintained","7","<3"
"10952","Westonbirt School","GL8 8QG","Independent","<3","<3"
"10953","Tewkesbury School","GL20 8DF","Maintained","<3","<3"
"10956","Katharine Lady Berkeleys School","GL12 8RB","Maintained","13","5"
"10963","Leicester Grammar School","LE8 9FL","Independent","19","8"
"10967","Andover College","SP10 1EJ","Maintained","<3","<3"
"10969","Cadbury Sixth Form College","B38 8QT","Maintained","4","<3"
"10972","St John Baptist C.I.W High School","CF44 8BW","Maintained","4","<3"
"10974","Lord Wandsworth College","RG29 1TB","Independent","8","<3"
"10976","Mintlaw Academy","AB42 5FN","Maintained","<3","<3"
"10977","Bournemouth School, Bournemouth","BH8 9PY","Maintained","15","<3"
"10978","Bournemouth School for Girls","BH8 9UJ","Maintained","9","4"
"10979","Bournemouth and Poole College","BH1 3JJ","Maintained","<3","<3"
"10986","St. Peter's Catholic School, Bournemouth","BH6 4AH","Maintained","<3","<3"
"10990","Rochester Independent College","ME1 1XF","Independent","7","<3"
"10992","William De Ferrers School","CM3 5JU","Maintained","<3","<3"
"10993","Barton Peveril College","SO50 5ZA","Maintained","35","6"
"10995","Dalbeattie High School","DG5 4LU","Maintained","<3","<3"
"10998","The Sixth Form College Farnborough","GU14 8JX","Maintained","52","11"
"10999","Farnborough Hill","GU14 8AT","Independent","<3","<3"
"11001","Salesian College, Farnborough","GU14 6PA","Independent","3","<3"
"11012","Bedales School","GU32 2DG","Independent","10","<3"
"11013","Churcher's College","GU31 4AS","Independent","9","<3"
"11023","The Portsmouth Grammar School","PO1 2LN","Independent","16","6"
"11024","Portsmouth High School, GDST","PO5 3EQ","Independent","<3","<3"
"11027","Portsmouth College","PO3 6PZ","Maintained","5","<3"
"11030","Kensington Park School","SW7 5JP","Independent","5","<3"
"11032","Embley","SO51 6ZE","Independent","<3","<3"
"11039","King Edward VI School, Southampton","SO15 5UQ","Independent","12","<3"
"11045","St Anne's Catholic School, Southampton","SO15 2WZ","Maintained","<3","<3"
"11049","St John's College, Southsea","PO5 3QW","Independent","<3","<3"
"11051","Oaklands Catholic School","PO7 7BW","Maintained","<3","<3"
"11055","Peter Symonds College","SO22 6RX","Maintained","72","22"
"11056","St Swithun's School","SO21 1HA","Independent","17","4"
"11057","Winchester College","SO23 9NA","Independent","40","7"
"11066","Hereford Cathedral School","HR1 2NG","Independent","9","3"
"11075","John Kyrle High School","HR9 7ET","Maintained","3","<3"
"11076","The Knights Templar School","SG7 6DZ","Maintained","3","<3"
"11078","Queen Elizabeth's School, Barnet","EN5 4DQ","Maintained","62","28"
"11079","Queen Elizabeth's Girls School, Barnet","EN5 5RR","Maintained","5","<3"
"11082","Ashlyns School","HP4 3AH","Maintained","5","<3"
