"ucas","name","application","offer"
"10549","Southbank International School","<3","<3"
"10550","Durham High School","4","<3"
"10551","","15","<3"
"10552","Durham School","6","<3"
"10555","Durham Sixth Form Centre","15","4"
"10559","Gateshead College","<3","<3"
"10563","Hartlepool VI Form College","<3","<3"
"10569","St. Joseph's Catholic Academy","3","<3"
"10572","St. Bede's Catholic Academy, Lanchester","<3","<3"
"10573","Weston Road Academy (formerly Weston Road..","<3","<3"
"10579","Downend Comprehensive School","<3","<3"
"10586","Chase Grammar School (Formerly","<3","<3"
"10587","Brimsham Green School","<3","<3"
"10590","Stockton Sixth Form College","<3","<3"
"10603","St. Aidan's Catholic Academy (formerly St Aida..","<3","<3"
"10604","St Anthony's Girls' Catholic Academy","4","<3"
"10607","Egglescliffe School","5","<3"
"10614","The Cotswold School Academy Trust","14","<3"
"10615","Barking Abbey School","6","<3"
"10616","Eastbury Comprehensive School, Barking","<3","<3"
"10622","The Billericay School","<3","<3"
"10629","Brentwood County High School","<3","<3"
"10630","Brentwood School","12","<3"
"10631","Shenfield High School","<3","<3"
"10632","Brentwood Ursuline Convent High","<3","<3"
"10636","","19","<3"
"10637","Moulsham High School, Chelmsford","<3","<3"
"10640","New Hall School","6","<3"
"10642","","23","<3"
"10645","Chigwell School","10","<3"
"10646","West Hatch High School","<3","<3"
"10647","Clacton County High School","<3","<3"
"10652","Colchester County High School For","<3","<3"
"10653","Colchester Royal Grammar School","26","3"
"10656","The Sixth Form College Colchester","20","4"
"10663","ACS Cobham International School","4","<3"
"10665","All Saints Catholic School & Technology College","<3","<3"
"10669","The Sydney Russell School","7","<3"
"10674","Felsted School","5","<3"
"10677","Unified Seevic Palmer's College, Palmer's Cam..","<3","<3"
"10679","The Sandon School","<3","<3"
"10683","Harlow College","<3","<3"
"10691","Campion School, Hornchurch","3","<3"
"10694","Beal High School","11","<3"
"10695","Seven Kings School","3","<3"
"10697","Ilford County High School","6","<3"
"10698","Valentines High School, Ilford","11","<3"
"10700","Anglo-European School","9","<3"
"10704","Davenant Foundation School","<3","<3"
"10715","Biddenham Upper School and Sports College","<3","<3"
"10719","The Frances Bardsley Academy for Girls","3","<3"
"10726","Saffron Walden County High School","18","4"
"10727","Southend High School for Boys","<3","<3"
"10728","Southend High School for Girls","9","<3"
"10734","Sacred Heart of Mary Girls School, Upminster","<3","<3"
"10735","Westcliff High School for Boys","11","3"
"10736","","3","<3"
"10737","St Bernard's High School","<3","<3"
"10738","Beauchamps High School","<3","<3"
"10737","St Bernard's High School","<3","<3"
"10738","Beauchamps High School                                                     Min. Number of Records","<3","<3"
"10739","Bancrofts School","22","<3"
"10741","Woodford County High School,","<3","<3"
"10748","Alun School","4","<3"
"10750","Prestatyn High School, Prestatyn","3","<3"
"10752","St James Senior Girls School","3","<3"
"10753","Ysgol Glan Clwyd","<3","<3"
"10755","Morley College, London","<3","<3"
"10762","Archbishop McGrath Catholic High School","<3","<3"
"10766","Cynffig Comprehensive School                                                -61","61","<3"
"10767","Maesteg School","<3","<3"
"10769","St Martin's School, Caerphilly","<3","<3"
"10772","Cardiff High School, Cardiff","23","6"
"10777","Fitzalan High School","<3","<3"
"10778","St David's Catholic College, Penylan","13","3"
"10780","Howell's School, Llandaff, GDST","6","<3"
"10783","Holmes Chapel Comprehensive School, Crewe","<3","<3"
"10785","Eckington School, Sheffield","<3","<3"
"10790","Whitchurch High School","9","<3"
"10791","Cowbridge Comprehensive School","10","<3"
"10794","United World College of the Atlantic","11","<3"
"10800","Mountain Ash Comprehensive School, Mountai..","<3","<3"
"10805","The Grange School, Northwich","4","<3"
"10806","St Cyres Comprehensive School","<3","<3"
"10807","Stanwell School","15","<3"
"10811","The Fallibroome Academy","8","<3"
"10815","Ysgol Garth Olwg","<3","<3"
"10819","","7","<3"
"10820","Ysgol Gyfun Cwm Rhondda","<3","<3"
"10824","St Clares School Porthcawl","<3","<3"
"10828","","4","<3"
"10829","Coleg y Cymoedd","10","3"
"10830","Bishop Gore School","<3","<3"
"10837","Gowerton School, Swansea","<3","<3"
"10842","Olchfa School","9","<3"
"10849","Tonyrefail Community School","<3","<3"
"10851","Cleeve School","<3","<3"
"10854","Backwell School, Bristol","7","<3"
"10855","Badminton School","12","<3"
"10860","Bristol Cathedral Choir School","19","6"
"10861","Clifton College","15","3"
"10862","Clifton High School","3","<3"
"10864","V6","<3","<3"
"10865","Collegiate School, Bristol","3","<3"
"10866","North Bristol Post","16","<3"
"10870","Gordano School","11","<3"
"10871","Bristol Grammar School","22","3"
"10887","Queen Elizabeth's Hospital School","14","3"
"10896","St Brendan's Sixth Form College","24","3"
"10898","St Mary Redcliffe and Temple School","17","5"
"10904","Ysgol Gyfun Gymraeg Glantaf","3","<3"
"10907","Cheltenham College","8","<3"
"10908","Pate's Grammar School","56","20"
"10909","Cheltenham Ladies' College","32","5"
"10910","Cheltenham Bournside School","<3","<3"
"10911","Dean Close School","11","3"
"10912","St Edward's School","<3","<3"
"10919","Chipping Campden School","<3","<3"
"10920","Chipping Sodbury School","<3","<3"
"10921","Chosen Hill School","<3","<3"
"10924","Cirencester College","13","<3"
"10927","Rendcomb College","<3","<3"
"10934","Denmark Road High School","7","<3"
"10936","King's School, Gloucester","4","<3"
"10937","Ribston Hall High School","<3","<3"
"10939","Sir Thomas Rich's School","14","<3"
"10944","The Crypt School","16","<3"
"10945","Wycliffe College, Stonehouse","3","<3"
"10946","Stroud High School","<3","<3"
"10945","Wycliffe College, Stonehouse","<3","<3"
"10946","Stroud High School","11","4"
"10948","Marling School","14","3"
"10952","Westonbirt School                                                           Redacted Acceptances","<3","<3"
"10953","Tewkesbury Academy                                                           -57","57","<3"
"10956","Katharine Lady Berkeleys School","6","<3"
"10958","Elizabeth College","3","<3"
"10959","The Guernsey Sixth Form Centre","3","<3"
"10960","The Ladies' College","<3","<3"
"10963","Leicester Grammar School","5","<3"
"10967","Andover College                                                              -61","61","<3"
"10969","Cadbury Sixth Form College","<3","<3"
"10972","St John Baptist C.I.W High School","<3","<3"
"10974","Lord Wandsworth College","9","<3"
"10977","Bournemouth School, Bournemouth","10","<3"
"10978","Bournemouth School for Girls","10","3"
"10982","Kings Education Bournemouth","3","<3"
"10986","St. Peter's Catholic School, Bournemouth","<3","<3"
"10987","Talbot Heath School","<3","<3"
"10990","Rochester Independent College","5","<3"
"10993","Barton Peveril College","64","12"
"10995","Dalbeattie High School","<3","<3"
"10998","The Sixth Form College Farnborough","72","13"
"10999","Farnborough Hill","4","<3"
"11001","Salesian College, Farnborough","4","<3"
"11012","Bedales School","11","<3"
"11013","Churcher's College","13","3"
"11023","The Portsmouth Grammar School","23","5"
"11024","Portsmouth High School, GDST","<3","<3"
"11027","City of Portsmouth College - Tangier Road","<3","<3"
"11030","Kensington Park School","5","<3"
"11032","Embley","<3","<3"
"11038","Itchen College, Southampton","5","<3"
"11039","King Edward VI School, Southampton","18","5"
"11051","Oaklands Catholic School","8","<3"
"11055","Peter Symonds College","128","22"
"11056","St Swithun's School","14","4"
"11057","Winchester College","68","22"
"11066","Hereford Cathedral School","5","<3"
"11071","John Masefield High School","4","<3"
"11076","The Knights Templar School","<3","<3"
"11078","Queen Elizabeth's School, Barnet","30","16"
"11079","Queen Elizabeth's Girls School, Barnet","<3","<3"
"11080","Mount House School","<3","<3"
"11082","Ashlyns School","<3","<3"
"11083","Berkhamsted School","11","5"
"11085","Bishop's Stortford College","4","<3"
"11087","The Hertfordshire & Essex High School and","<3","<3"
"11088","St Marys Catholic School, Bishops Stor","3","<3"
"11096","The Broxbourne School","11","<3"
"11097","Queens' School, Bushey","10","<3"
"11098","Bushey Meads School","3","<3"
"11101","St Margaret's School, Bushey","4","<3"
"11104","Goffs Academy","6","<3"
"11108","Southgate School","<3","<3"
"11109","East Barnet School, Barnet","5","<3"
"11110","Aldenham School","<3","<3"
"11111","Haberdashers' Boys' School","31","9"
"11114","Roundwood Park School, Harpenden","4","<3"
"11115","St George's School, Harpenden","16","<3"
"11116","Chancellors School, Hatfield","<3","<3"
"11117","Bishop's Hatfield Girls' School","<3","<3"
"11120","Queenswood School, Hatfield","<3","<3"
"11124","Longdean School","3","<3"
"11125","Laureate Academy","<3","<3"
"11126","Hemel Hempstead School","3","<3"
"11128","Haileybury & Imperial Service College, Hertford","<3","<3"
"11129","Richard Hale School, Hertford","9","5"
"11133","Hitchin Boys School","5","<3"
"11134","Hitchin Girls School","<3","<3"
"11133","Hitchin Boys School","<3","<3"
"11134","Hitchin Girls School","3","<3"
"11138","The Highfield School, Letchworth","<3","<3"
"11141","St Christopher School","3","<3"
"11142","St Francis' College                                                          -57","57","<3"
"11145","Rickmansworth School","<3","<3"
"11146","Royal Masonic School for Girls","6","<3"
"11147","St Joan of Arc Catholic School","<3","<3"
"11152","Beaumont School, St Albans","16","6"
"11156","Loreto College, St Albans","4","<3"
"11157","Sandringham School, St Albans","8","3"
"11158","Nicholas Breakspear Catholic School","<3","<3"
"11159","Oaklands College","<3","<3"
"11160","St Albans Girls' School","4","3"
"11161","Verulam School","3","<3"
"11162","St Albans High School for Girls","11","4"
"11163","St Albans School","22","3"
"11164","St Columba's College, St Albans","<3","<3"
"11165","Townsend C of E School","<3","<3"
"11171","The Nobel School","<3","<3"
"11177","Chauncy School","<3","<3"
"11178","Birchwood High School","<3","<3"
"11180","Presdales School","3","<3"
"11181","St Edmunds College, Ware","<3","<3"
"11184","Future Academies Watford","<3","<3"
"11188","Saint Michael's Catholic High School, Watford","<3","<3"
"11193","Watford Grammar School for Boys","26","3"
"11194","Watford Grammar School for Girls","21","7"
"11199","Monks Walk School, Welwyn Garden","4","<3"
"11201","","4","<3"
"11203","Hinchingbrooke School","7","3"
"11205","Kimbolton School","4","<3"
"11206","The Thomas Deacon Academy","3","<3"
"11208","","13","<3"
"11210","Oundle School","38","11"
"11213","Peterborough School","<3","<3"
"11214","Ramsey Gatehouse Sixth Form","<3","<3"
"11215","Longsands Sixth Form","<3","<3"
"11221","Ryde School","3","<3"
"11227","King William's College","7","<3"
"11228","St Ninian's High School, Isle of Man","4","<3"
